"Age","Sex","Race","Site","Cancer_Death","Other_Death"
0,"Female","Black","Bladder",0.925271726779611,0.902396241163355
0,"Female","Black","Brain",0.516431405308203,0.83987961749948
0,"Female","Black","Breast",0.92223243674908,0.904935482862055
0,"Female","Black","Cervical",0.870022210268583,0.90772989728475
0,"Female","Black","Colorectal",0.859489468556717,0.911085365120301
0,"Female","Black","Esophageal",0.559179300996967,0.844001727080662
0,"Female","Black","Gallbladder",0.50876962173813,0.855608243093515
0,"Female","Black","Gastric",0.653348231887245,0.880957175944474
0,"Female","Black","Kidney",0.876267945545483,0.872874350233068
0,"Female","Black","Liver",0.492363294948012,0.775562978896092
0,"Female","Black","Lung",0.557212886982438,0.862952136055499
0,"Female","Black","Ovarian",0.725010446363724,0.909388415454733
0,"Female","Black","Pancreas",0.351237007114096,0.833097733325708
0,"Female","Black","Uterine",0.934783788342455,0.91378861715422
0,"Female","White","Bladder",0.938685694463319,0.924522160438554
0,"Female","White","Brain",0.58370924044745,0.87516772852922
0,"Female","White","Breast",0.936172977877356,0.926509410020918
0,"Female","White","Cervical",0.892763562089944,0.928694842273351
0,"Female","White","Colorectal",0.883948509389769,0.931316963075589
0,"Female","White","Esophageal",0.62277965337827,0.878448040511805
0,"Female","White","Gallbladder",0.57664440490926,0.887664115369297
0,"Female","White","Gastric",0.706971215157003,0.907690563305173
0,"Female","White","Kidney",0.897981388710297,0.901319821837886
0,"Female","White","Liver",0.561449468163544,0.823478208575543
0,"Female","White","Lung",0.620994859387528,0.893480244809289
0,"Female","White","Ovarian",0.769528991656259,0.929991171790265
0,"Female","White","Pancreas",0.42639167719937,0.869762529745003
0,"Female","White","Uterine",0.946539885532395,0.933427755257643
0,"Male","Black","Bladder",0.912266229660539,0.886726889989752
0,"Male","Black","Brain",0.457832782855284,0.815251432611347
0,"Male","Black","Colorectal",0.836094509897143,0.896729594981465
0,"Male","Black","Esophageal",0.502967864734703,0.81993707227374
0,"Male","Black","Gallbladder",0.449813298380875,0.83315123023246
0,"Male","Black","Gastric",0.604579414797295,0.862117257665634
0,"Male","Black","Kidney",0.855425205145054,0.852865435406439
0,"Male","Black","Liver",0.43271530185529,0.742660387481151
0,"Male","Black","Lung",0.500877427835797,0.841528173600345
0,"Male","Black","Pancreas",0.29025670131718,0.807550941988869
0,"Male","Black","Prostate",0.946986255224054,0.892574427437563
0,"Male","White","Bladder",0.927922668114612,0.912229717634024
0,"Male","White","Brain",0.529156346433346,0.855489019827708
0,"Male","White","Colorectal",0.864296692433552,0.92008259177606
0,"Male","White","Esophageal",0.571281559321187,0.859243676970595
0,"Male","White","Gallbladder",0.521592879503519,0.869805207584289
0,"Male","White","Gastric",0.663672746201868,0.892819637562381
0,"Male","White","Kidney",0.880541706725898,0.885488882627646
0,"Male","White","Liver",0.505382879219552,0.796646795072164
0,"Male","White","Lung",0.569346462752662,0.876480078975187
0,"Male","White","Pancreas",0.365038251242727,0.849307447502991
0,"Male","White","Prostate",0.956593924821232,0.916822995134545
1,"Female","Black","Bladder",0.923743956569023,0.899337867181862
1,"Female","Black","Brain",0.509221194302086,0.835048967360974
1,"Female","Black","Breast",0.920645233688075,0.901952277699458
1,"Female","Black","Cervical",0.867448576153054,0.904829695051051
1,"Female","Black","Colorectal",0.856724938231091,0.908285217715997
1,"Female","Black","Esophageal",0.55230602498227,0.839283188790734
1,"Female","Black","Gallbladder",0.501506862949619,0.851209037286728
1,"Female","Black","Gastric",0.647457983942816,0.877273904454338
1,"Female","Black","Kidney",0.87380881651635,0.868960067049752
1,"Female","Black","Liver",0.484996374282939,0.769074173054432
1,"Female","Black","Lung",0.550322531141315,0.858757751782814
1,"Female","Black","Ovarian",0.720066881325221,0.906537614975437
1,"Female","Black","Pancreas",0.343504233553552,0.828084127881797
1,"Female","Black","Uterine",0.933443421442277,0.91106938258828
1,"Female","White","Bladder",0.937422810212766,0.922126878013412
1,"Female","White","Brain",0.577061338485658,0.871318733813004
1,"Female","White","Breast",0.93486015656577,0.924174572433354
1,"Female","White","Cervical",0.890611473215468,0.926426645132223
1,"Female","White","Colorectal",0.881631512417504,0.929128953502804
1,"Female","White","Esophageal",0.616536097525961,0.874692785549378
1,"Female","White","Gallbladder",0.56992928175682,0.884174447469889
1,"Female","White","Gastric",0.701774335649968,0.904789190694173
1,"Female","White","Kidney",0.895927802740519,0.898229656117838
1,"Female","White","Liver",0.55459609484816,0.818208314343084
1,"Female","White","Lung",0.614731657702595,0.890159862208182
1,"Female","White","Ovarian",0.76525154957196,0.927762586466972
1,"Female","White","Pancreas",0.418728220805327,0.865759986121123
1,"Female","White","Uterine",0.945434032811749,0.931304478976003
1,"Male","Black","Bladder",0.910485667068977,0.883210064097031
1,"Male","Black","Brain",0.450285346277515,0.809765379112186
1,"Male","Black","Colorectal",0.832916018615773,0.893504349898521
1,"Male","Black","Esophageal",0.495666957378086,0.814573790951705
1,"Male","Black","Gallbladder",0.442231757629554,0.828139060664406
1,"Male","Black","Gastric",0.598140737444844,0.857899481265755
1,"Male","Black","Kidney",0.852587759504341,0.848390280871951
1,"Male","Black","Liver",0.425071316310384,0.735392292300894
1,"Male","Black","Lung",0.493563125498371,0.836742278134358
1,"Male","Black","Pancreas",0.282717035820776,0.801865108350417
1,"Male","Black","Prostate",0.945889369513426,0.889227595066082
1,"Male","White","Bladder",0.92644691351259,0.909463789323285
1,"Male","White","Brain",0.52203877320117,0.851086506495372
1,"Male","White","Colorectal",0.861618943795617,0.917552800001051
1,"Male","White","Esophageal",0.564516649177931,0.854945597034315
1,"Male","White","Gallbladder",0.514419443306033,0.865803871873706
1,"Male","White","Gastric",0.65790885766341,0.889479962214485
1,"Male","White","Kidney",0.878161486218294,0.881936234632257
1,"Male","White","Liver",0.498097678231298,0.790682330894237
1,"Male","White","Lung",0.562563852656963,0.872668536527688
1,"Male","White","Pancreas",0.357294503091151,0.844734218384532
1,"Male","White","Prostate",0.955691148684718,0.914194908867631
2,"Female","Black","Bladder",0.922186283931574,0.89618927946758
2,"Female","Black","Brain",0.501961464407155,0.83008780910414
2,"Female","Black","Breast",0.919027079431019,0.89888078608564
2,"Female","Black","Cervical",0.864828040992732,0.901843353420814
2,"Female","Black","Colorectal",0.853910765186463,0.905401545158009
2,"Female","Black","Esophageal",0.545373699849398,0.834436373977891
2,"Female","Black","Gallbladder",0.494196574248621,0.846688161915565
2,"Female","Black","Gastric",0.64149721707539,0.873485048882474
2,"Female","Black","Kidney",0.871304487972751,0.864934824535066
2,"Female","Black","Liver",0.477586466404599,0.762427877154868
2,"Female","Black","Lung",0.543373505842573,0.854446124691778
2,"Female","Black","Ovarian",0.715052923026393,0.903601962326843
2,"Female","Black","Pancreas",0.335782619003088,0.822936474029353
2,"Female","Black","Uterine",0.932076519496036,0.908268757611364
2,"Female","White","Bladder",0.936134809468144,0.919658933285293
2,"Female","White","Brain",0.570350131015872,0.867360281519205
2,"Female","White","Breast",0.933521302772316,0.921768732597902
2,"Female","White","Cervical",0.888418949229557,0.924089287240955
2,"Female","White","Colorectal",0.879271485532875,0.926874014596533
2,"Female","White","Esophageal",0.610224299560578,0.870830253244749
2,"Female","White","Gallbladder",0.563151987754093,0.880583830346911
2,"Female","White","Gastric",0.696506310739421,0.901801648275169
2,"Female","White","Kidney",0.893835370221846,0.895048466481892
2,"Female","White","Liver",0.547683241190538,0.812799630438933
2,"Female","White","Lung",0.608400389897105,0.886742677664825
2,"Female","White","Ovarian",0.760907636674732,0.925465940573498
2,"Female","White","Pancreas",0.411043853174133,0.861644475133421
2,"Female","White","Uterine",0.944305984574543,0.929116087028192
2,"Male","Black","Bladder",0.908670806753271,0.879591631798118
2,"Male","Black","Brain",0.442705728899849,0.804136742381268
2,"Male","Black","Colorectal",0.829682370570693,0.890184671590355
2,"Male","Black","Esophageal",0.488320082470015,0.809070057509784
2,"Male","Black","Gallbladder",0.434620783144242,0.822992869975165
2,"Male","Black","Gastric",0.591635835152992,0.853563949195369
2,"Male","Black","Kidney",0.849699656178874,0.843791852393658
2,"Male","Black","Liver",0.417404046030313,0.727958628738817
2,"Male","Black","Lung",0.486203430385616,0.831826759799614
2,"Male","Black","Pancreas",0.275219057005839,0.796033359157151
2,"Male","Black","Prostate",0.944770456919145,0.885783307033822
2,"Male","White","Bladder",0.924942181997424,0.906615236428981
2,"Male","White","Brain",0.514868565453136,0.846562253306687
2,"Male","White","Colorectal",0.858892783841488,0.914946687066112
2,"Male","White","Esophageal",0.55769047881403,0.850528015064434
2,"Male","White","Gallbladder",0.507195196146963,0.861689596107944
2,"Male","White","Gastric",0.652073996188872,0.886043007886904
2,"Male","White","Kidney",0.875737262949299,0.878281116873733
2,"Male","White","Liver",0.49076585347429,0.78456759451261
2,"Male","White","Lung",0.555720321365625,0.868748404197139
2,"Male","White","Pancreas",0.349555519247464,0.840035673793145
2,"Male","White","Prostate",0.954770043721878,0.911487858845355
3,"Female","Black","Bladder",0.92059818003227,0.892948186712538
3,"Female","Black","Brain",0.494654085025514,0.824993604288828
3,"Female","Black","Breast",0.917377431518562,0.8957187460913
3,"Female","Black","Cervical",0.862159920050372,0.898768644595679
3,"Female","Black","Colorectal",0.851046256433759,0.902432163132962
3,"Female","Black","Esophageal",0.538383677452192,0.829458733149213
3,"Female","Black","Gallbladder",0.486840719047023,0.842043056602997
3,"Female","Black","Gastric",0.63546626156905,0.869588131231379
3,"Female","Black","Kidney",0.868754283247751,0.860796102374192
3,"Female","Black","Liver",0.470135736035023,0.755622190320605
3,"Female","Black","Lung",0.536367186312887,0.850014703140944
3,"Female","Black","Ovarian",0.709968317214837,0.900579250862268
3,"Female","Black","Pancreas",0.328075837175174,0.817652259607076
3,"Female","Black","Uterine",0.930682600203226,0.90538459493543
3,"Female","White","Bladder",0.934821230735139,0.917116343648609
3,"Female","White","Brain",0.563576683681464,0.863289861798133
3,"Female","White","Breast",0.932155941489098,0.9192899415154
3,"Female","White","Cervical",0.886185346327381,0.921680857689182
3,"Female","White","Colorectal",0.876867765272886,0.924550282713515
3,"Female","White","Esophageal",0.603844895879477,0.866857950837408
3,"Female","White","Gallbladder",0.556313669864775,0.876889832704317
3,"Female","White","Gastric",0.691167013575516,0.898725707756259
3,"Female","White","Kidney",0.891703461274837,0.891773949636781
3,"Female","White","Liver",0.540712232131908,0.807249699039819
3,"Female","White","Lung",0.602001711117823,0.883226308972881
3,"Female","White","Ovarian",0.756496748724403,0.923099346353493
3,"Female","White","Pancreas",0.403341521447321,0.857413464209726
3,"Female","White","Uterine",0.943155324260091,0.926860755066247
3,"Male","Black","Bladder",0.906821065770873,0.875869154635086
3,"Male","Black","Brain",0.435096513647499,0.798363126710091
