"Age","Sex","Race","Site","Cancer_Death","Other_Death"
0,"Female","Black","Bladder",0.984729199274391,0.925428773700763
0,"Female","Black","Brain",0.754925755789145,0.78770869251603
0,"Female","Black","Breast",0.988691296050791,0.920654067271801
0,"Female","Black","Cervical",0.984165090960535,0.929234980661881
0,"Female","Black","Colorectal",0.984632038636172,0.927793280714965
0,"Female","Black","Esophageal",0.899325323599938,0.880529760270201
0,"Female","Black","Gallbladder",0.929300832970905,0.906340807265446
0,"Female","Black","Gastric",0.960250915796012,0.893316826497557
0,"Female","Black","Kidney",0.985706005740818,0.891265168406638
0,"Female","Black","Liver",0.865057938516815,0.812169162072359
0,"Female","Black","Lung",0.942560912772753,0.874828662753462
0,"Female","Black","Ovarian",0.981643918273322,0.929983587448784
0,"Female","Black","Pancreas",0.838073343787035,0.831815122161078
0,"Female","Black","Uterine",0.991107827602956,0.930789552003667
0,"Female","White","Bladder",0.988517888477096,0.943877129945624
0,"Female","White","Brain",0.809789106449784,0.837069256174924
0,"Female","White","Breast",0.99150123051491,0.940245214890753
0,"Female","White","Cervical",0.988092888184465,0.946768930808015
0,"Female","White","Colorectal",0.988444691796495,0.945673941573265
0,"Female","White","Esophageal",0.923456379052822,0.909531564824935
0,"Female","White","Gallbladder",0.946460674882156,0.929328838122749
0,"Female","White","Gastric",0.970019426334371,0.919357553085674
0,"Female","White","Kidney",0.989253672706688,0.917783419042079
0,"Female","White","Liver",0.896922445936304,0.856366370136406
0,"Female","White","Lung",0.956577658405104,0.905138963481622
0,"Female","White","Ovarian",0.986192688186202,0.947337336380187
0,"Female","White","Pancreas",0.875842822517845,0.87175820858929
0,"Female","White","Uterine",0.993319342599711,0.947949162562949
0,"Male","Black","Bladder",0.981543757387818,0.913416334102186
0,"Male","Black","Brain",0.711535984611845,0.756648104115513
0,"Male","Black","Colorectal",0.981426521180987,0.916144193050124
0,"Male","Black","Esophageal",0.879455698609843,0.861843580235083
0,"Male","Black","Gallbladder",0.915064298857379,0.891438373673815
0,"Male","Black","Gastric",0.952085210055921,0.876487137157234
0,"Male","Black","Kidney",0.98272252929009,0.874135214979762
0,"Male","Black","Liver",0.839054177795587,0.784176497288211
0,"Male","Black","Lung",0.930894044823573,0.855326284479515
0,"Male","Black","Pancreas",0.807474819255291,0.806388178842342
0,"Male","Black","Prostate",0.994102467954112,0.889368009240125
0,"Male","White","Bladder",0.986117172104682,0.934730616303651
0,"Male","White","Brain",0.77460368015414,0.81234358421154
0,"Male","White","Colorectal",0.98602877967916,0.936810338225545
0,"Male","White","Esophageal",0.90810229640293,0.895106838856627
0,"Male","White","Gallbladder",0.935558499964925,0.917916346372708
0,"Male","White","Gastric",0.963822453752745,0.906417540555583
0,"Male","White","Kidney",0.987005782825393,0.90460417686433
0,"Male","White","Liver",0.876611960461607,0.834270149060079
0,"Male","White","Lung",0.947678135433034,0.890057158582111
0,"Male","White","Pancreas",0.851733940497549,0.851819210978861
0,"Male","White","Prostate",0.995570869145776,0.916327002770819
1,"Female","Black","Bladder",0.984124674390861,0.922916060168395
1,"Female","Black","Brain",0.74650369768951,0.781141683765868
1,"Female","Black","Breast",0.988242680946812,0.917987707661674
1,"Female","Black","Cervical",0.983538421940696,0.926845386985269
1,"Female","Black","Colorectal",0.984023698745115,0.925356985629788
1,"Female","Black","Esophageal",0.895525290691872,0.876608108006412
1,"Female","Black","Gallbladder",0.926585697169184,0.903219249554311
1,"Female","Black","Gastric",0.958697921402995,0.889788178141745
1,"Female","Black","Kidney",0.985139857198087,0.887673015088106
1,"Female","Black","Liver",0.860068337279618,0.806262769080736
1,"Female","Black","Lung",0.940338534319438,0.870733948425803
1,"Female","Black","Ovarian",0.980918444324419,0.927618275575224
1,"Female","Black","Pancreas",0.832186309136327,0.826458587198944
1,"Female","Black","Uterine",0.990754627291849,0.928450406788719
1,"Female","White","Bladder",0.988062435929521,0.941966412707161
1,"Female","White","Brain",0.802999872056116,0.831862629111148
1,"Female","White","Breast",0.991163586548717,0.938214942142998
1,"Female","White","Cervical",0.987620683253308,0.944953768235378
1,"Female","White","Colorectal",0.987986353489688,0.94382255922336
1,"Female","White","Esophageal",0.920526537120946,0.906510777173952
1,"Female","White","Gallbladder",0.944384689699653,0.926942287608559
1,"Female","White","Gastric",0.9688418712306,0.916649627330406
1,"Female","White","Kidney",0.988827240737827,0.915025115660728
1,"Female","White","Liver",0.893037216362768,0.851720475352601
1,"Female","White","Lung",0.954884550419049,0.901979554629571
1,"Female","White","Ovarian",0.985645675194906,0.94554099348429
1,"Female","White","Pancreas",0.871221670145991,0.867570843632317
1,"Female","White","Uterine",0.993053676377063,0.946173090796025
1,"Male","Black","Bladder",0.980814363668131,0.910518781457099
1,"Male","Black","Brain",0.701937955801172,0.749281760808363
1,"Male","Black","Colorectal",0.980692539990527,0.913333532777222
